,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Fold
1992,17.58,17.58,0.0,5.0,37.0,No,No,Flat
1993,10.0,10.0,0.0,4.9167,261.0,Yes,No,Flat
1994,5.59,7.46,25.0,,,No,No,Flat
1995,0.5,0.5,0.0,4.9842,320.0,Yes,No,Flat
1996,10.0,10.0,0.0,4.9286,1101.0,Yes,No,Flat
1997,11.48,11.48,0.0,5.0,67.0,No,No,Flat
1998,24.5,24.5,0.0,4.8729,2306.0,Yes,No,Flat
1999,1.75,1.75,0.0,4.9574,6270.0,Yes,No,Flat
2000,10.0,10.0,0.0,4.9431,736.0,No,No,Flat
2001,1.72,1.72,0.0,4.92,179.0,No,No,Flat
2002,1.51,2.52,40.0,4.9074,2617.0,Yes,No,Flat
2003,0.78,0.86,9.0,4.9737,2462.0,No,No,Flat
2004,4.95,4.95,0.0,1.0,224.0,No,No,Flat
2005,9.95,9.95,0.0,4.9945,501.0,No,No,Flat
2006,18.95,18.95,0.0,4.75,291.0,No,No,Flat
2007,9.0,15.0,40.0,4.925,6575.0,No,No,Flat
2008,59.75,59.75,0.0,4.9657,3993.0,Yes,No,Flat
2009,907.0,907.0,0.0,5.0,955.0,Yes,No,Flat
2010,0.18,0.2,10.0,4.9617,5169.0,No,No,Flat
2011,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
2012,3.9,6.5,40.0,4.9317,639.0,No,No,Flat
2013,10.0,10.0,0.0,4.984,3128.0,No,No,Flat
2014,9.0,9.0,0.0,5.0,42.0,No,No,Flat
2015,14.4,16.0,10.0,4.8182,131.0,Yes,No,Flat
2016,1.0,1.0,0.0,4.9231,1578.0,Yes,No,Flat
2017,14.95,14.95,0.0,5.0,727.0,Yes,No,Flat
2018,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
2019,14.25,14.25,0.0,5.0,1.0,No,No,Flat
2020,12.99,12.99,0.0,5.0,51.0,Yes,No,Flat
2021,9.75,9.75,0.0,5.0,1.0,No,No,Flat
2022,9.57,9.57,0.0,5.0,12.0,No,No,Flat
